Random waveform, supplied seed
Total number of intervals = 100 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187)
Average QPS expected = 50833
Timestamp start: 1684688471424
Timestamp end: 1684689471838

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      500.2  1147.9   148.8   207.6   223.9   379.8   452.0   492.2   519.3   548.0   587.9   665.0  3919.1 15246.6 35902.7  13854.8    13911
read      345.1   373.8   148.8   194.3   205.5   294.3   359.1   398.6   429.9   466.5   507.8   563.7   970.4  3920.4 13439.9  49913.8    49984
read      519.0  1418.7   160.7   217.5   236.9   374.0   428.5   458.2   479.0   503.9   538.6   623.7  4409.0 28930.0 41742.8   9293.7     9274
read      516.3  1052.3   148.8   200.5   213.9   383.5   487.6   555.0   602.8   652.9   732.5   900.0  3130.9 12666.7 32501.0  27062.5    27187
read      465.8   710.3   160.7   204.8   219.8   393.2   482.6   535.5   570.8   608.6   652.6   742.1  1729.7  7983.4 31504.6  18813.4    18735
read      318.0   317.0   148.8   192.9   203.7   275.6   324.5   354.8   378.2   407.7   450.1   513.6   825.3  3370.2 10723.4  86515.2    86505
read      312.3   303.3   148.8   192.6   203.3   274.3   321.7   350.7   372.6   400.6   438.5   499.7   639.9  3407.4 11417.1  93013.0    93039
read      323.5   281.7   148.8   193.9   204.8   281.9   336.5   369.8   395.7   428.3   471.5   534.0   694.0  3214.8 10175.6  76078.0    75999
read      391.6   370.6   148.8   197.2   209.4   331.9   420.7   470.3   504.6   545.8   614.3   753.0  1041.4  3406.6 11157.2  32241.5    32324
read      326.7   311.0   148.8   193.8   204.8   280.0   333.0   365.5   390.5   422.1   465.7   535.7  1015.0  3834.8 10086.6  84010.7    84255
read      321.4   191.2   148.8   196.4   207.7   287.1   343.4   377.0   401.8   432.6   472.7   535.1   662.9  1736.4  7650.0  81850.6    81759
read      360.7   236.0   148.8   202.5   214.3   327.0   399.7   442.6   472.1   504.0   538.9   586.4   703.1  2292.4  8453.9  37199.3    37291
read      350.0   224.5   148.8   200.9   212.7   315.0   384.2   422.9   452.2   487.0   528.7   582.7   692.6  1970.8 10631.5  53694.6    53818
read      404.6   316.3   160.7   204.5   217.8   351.3   438.6   488.1   522.0   562.1   624.3   763.6  1061.3  3738.4  9440.9  30197.9    30297
read      392.9   315.3   148.8   203.1   215.0   336.9   422.6   469.8   502.3   540.3   598.9   752.7  1073.2  3066.8 12212.1  31562.5    31569
read      364.7   395.6   148.8   200.6   212.1   318.1   392.0   435.3   466.2   499.7   537.4   588.6   842.3  4035.1 14022.6  38868.2    38927
read      414.4   381.0   160.7   221.7   243.0   387.5   447.8   480.8   503.7   529.8   560.4   608.0   800.6  4393.0 16900.4  10642.6    10652
read      331.7   425.9   148.8   196.4   207.8   287.7   338.3   367.5   390.3   418.9   458.5   522.8   733.1  5270.1 14703.9  98001.4    98119
read      350.3   342.2   148.8   196.6   208.3   303.6   370.9   413.4   445.9   483.4   525.3   578.0   799.8  3711.4 13586.3  48180.9    48176
read      360.0   564.3   148.8   200.1   212.1   317.5   392.5   435.6   465.6   496.5   530.1   576.0   784.8  2880.9  9794.9  35015.5    34929
read      338.8   268.2   148.8   197.9   209.3   295.5   357.1   393.5   422.0   457.9   503.9   568.3   778.1  2770.0  8619.0  69783.1    69735
read      431.7   343.0   160.7   206.6   222.0   391.1   481.1   532.4   569.4   610.4   659.2   748.1   990.3  4066.1 12493.8  20764.4    20753
read      327.6   278.8   148.8   194.5   205.8   284.7   339.1   372.1   397.8   430.1   473.6   542.3   863.0  2960.5 12320.9  84656.0    84642
read      343.6   345.9   148.8   193.6   204.9   298.3   366.7   409.0   440.2   474.2   510.2   557.0   760.8  3649.4 13184.4  42480.1    42333
read      335.4   334.8   148.8   193.0   204.1   286.3   346.3   385.0   415.0   453.2   499.5   558.1   814.3  3831.4 11874.1  61631.3    61587
read      321.5   330.0   148.8   192.6   203.4   275.5   327.7   360.6   386.2   418.8   463.9   528.5   739.5  3433.6 11071.1  78061.7    77998
read      310.6   348.1   148.8   192.0   202.7   271.3   317.6   345.9   368.2   395.7   432.5   492.7   633.7  3531.3 12504.0  97595.9    97625
read      432.2   337.3   148.8   204.8   219.8   391.8   484.8   537.8   576.9   619.0   669.5   765.8   979.2  3948.2 11609.8  23759.7    23781
read      423.4   422.4   148.8   199.5   212.9   314.0   392.7   463.5   539.6   654.1   816.2  1067.2  1468.6  2246.9 10560.8  66622.8    66723
read      437.3   302.9   148.8   201.8   216.1   384.0   491.8   552.8   597.1   646.0   718.0   842.9  1067.8  3548.3 11454.5  30987.5    31016
read      434.6   322.5   148.8   199.7   213.4   342.9   456.2   537.5   602.8   675.0   786.1   956.8  1243.5  2074.5 10962.2  47218.8    47394
read      701.4  2052.9   148.8   226.2   252.6   329.1   350.1   364.8   374.0   395.1   437.2  2186.3  9239.6 31279.8 43656.9  95334.6    95335
read      384.1   661.0   160.7   240.3   262.3   345.6   378.4   395.3   406.6   423.2   442.5   477.7   636.1  8536.0 30394.9   5303.0     5252
read      422.5   347.4   148.8   198.3   211.5   310.9   387.7   458.9   534.9   652.2   824.1  1077.5  1508.5  2120.0 11228.1  65902.0    65908
read      413.9   297.2   148.8   209.3   226.8   391.4   466.1   506.7   533.9   564.0   599.9   651.9   806.8  3870.2 12448.9  16904.4    16889
read      436.7   315.0   148.8   200.2   213.9   350.8   468.1   547.3   609.9   678.6   785.3   940.4  1180.7  2119.9 10257.3  42973.6    42912
read      794.2  2667.0   148.8   278.3   298.1   342.9   361.4   370.6   379.1   393.5   414.3   505.3 12760.2 32010.2 41183.3  99828.8    99898
read      458.8   967.1   148.8   202.5   215.6   367.6   467.2   527.5   570.1   618.4   681.5   821.6  1089.5 12349.1 35421.4  26373.3    26385
read      423.6   259.6   148.8   205.3   221.5   392.4   481.2   530.4   563.6   599.5   640.6   718.7   910.1  3582.0  9131.6  22573.0    22616
read      432.6   330.4   148.8   200.2   213.4   336.9   443.5   526.4   596.1   674.2   794.2   977.8  1264.0  2338.7 11849.7  50604.6    50605
read      502.6   706.1   148.8   211.4   227.9   318.5   362.0   395.7   434.2   549.7   998.8  1603.6  3393.7  6171.5 25167.4  90427.7    90283
read      428.3   280.5   148.8   203.9   218.9   388.5   485.7   540.2   578.7   621.1   674.2   779.0   963.3  3034.2 12119.5  26156.2    26273
read      436.2   306.5   148.8   200.5   213.8   338.5   447.4   533.8   606.1   686.0   814.1   995.7  1274.2  1744.6  8672.7  48541.6    48521
read      436.8   297.6   148.8   202.4   216.0   373.0   486.7   554.7   603.8   659.4   743.7   873.2  1087.2  2236.2 12025.1  33964.8    34058
read      413.5   349.1   148.8   198.5   211.5   304.3   368.9   424.4   489.5   620.6   814.5  1084.8  1544.7  2197.4 11379.5  75542.5    75648
read      414.2   291.1   148.8   206.3   222.7   386.6   466.9   511.8   541.3   575.1   615.2   676.2   866.8  2994.1 12438.0  19495.0    19482
read      404.5   275.7   148.8   211.0   229.2   384.1   452.4   489.6   514.3   540.8   574.5   624.3   777.9  3731.9 10233.1  15104.6    15054
read      415.9   364.7   148.8   199.7   212.7   306.2   369.6   423.6   485.3   622.3   832.1  1097.8  1528.5  2344.5  8524.2  75721.4    75754
read      367.9   392.6   160.7   242.5   263.7   344.2   376.2   393.4   404.2   420.5   437.0   470.0   587.5  5299.1 16204.0   5219.7     5187

Total QPS = 50824.6 (50824640 / 1000.0s)

Total connections = 64
Misses = 50824639 (100.0%)
Skipped TXs = 0 (0.0%)

RX  152473917 bytes :    0.1 MB/s
TX          0 bytes :    0.0 MB/s
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 99.93%,51.01%,100.00%
