Random waveform, supplied seed
Total number of intervals = 350 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227, 37496, 83925, 51037, 33690, 51474, 73708, 98618, 81977, 91567, 48236, 91726, 52458, 70467, 71151, 65016, 42057, 78821, 60720, 39911, 10628, 73736, 7334, 91868, 76670, 10405, 26019, 55530, 29615, 66057, 55281, 21177, 88239, 70227, 23421, 97104, 6235, 58045, 23729, 40897, 53312, 87262, 81836, 92274, 47252, 75747, 80994, 98224, 7737, 37514, 10640, 90490, 92514, 89245, 73823, 46565, 21419, 66915, 31667, 72255, 99535, 9226, 67844, 71413, 97328, 55113, 53743, 15253, 90605, 25767, 93458, 95080, 88399, 95681, 33003, 98809, 64610, 51183, 20194, 7602, 46677, 5577, 23035, 57516, 62851, 38431, 25729, 19443, 19461, 42341, 5691, 40223, 29941, 41162, 43863, 20318, 93421, 48578, 40595, 17677, 78948, 9703, 9686, 7968, 15830, 8192, 79410, 76582, 54634, 72177, 15101, 8167, 44130, 53047, 97171, 81360, 77277, 38294, 11165, 74155, 12255, 52404, 17057, 6005, 85707, 79742, 58322, 26212, 69487, 29507, 51412, 67374, 55125, 53048, 12192, 36138, 60799, 36368, 39729, 95693, 40999, 65037, 12633, 50117, 62765, 12379, 49369, 39111, 52692, 24539, 61591, 47864, 16479, 75268, 8714, 13002, 77147, 43518, 27206, 55859, 37448, 45026, 99974, 64632, 49061, 80418, 16471, 35694, 13935, 79838, 48842)
Average QPS expected = 50036
Timestamp start: 1684939887598
Timestamp end: 1684940848098

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      359.3   427.1   160.7   200.7   211.7   304.5   363.3   400.6   431.5   469.5   516.4   583.1  1101.6  6375.8 12192.3  51089.8    51267
read      452.1   924.4   160.7   199.9   213.6   351.3   413.6   454.0   484.0   517.6   559.8   638.2  2785.0 11041.1 31817.0  11742.9    11822
read      502.5   484.9   160.7   218.3   237.6   370.4   426.9   467.9   507.7   583.6  1009.6  1546.8  2156.3  4239.8 10768.1  97673.8    97494
read      351.3   314.5   160.7   206.2   220.2   316.0   365.3   394.3   417.0   445.7   486.5   554.7   796.2  3212.4 11909.9  97169.8    97350
read      350.6   321.5   160.7   202.8   214.7   307.9   363.6   396.5   423.5   457.0   501.1   568.7   975.0  4413.8 10116.9  55540.0    55460
read      343.5   325.8   160.7   204.6   217.5   306.6   355.4   384.0   405.0   433.9   472.3   539.6   871.0  3594.2  9979.3  85830.2    85984
read      345.9   226.0   160.7   205.5   218.8   310.6   361.5   390.8   413.3   442.0   483.2   549.8   849.3  3125.8  5936.1  81655.3    82043
read      340.4   252.8   160.7   203.2   214.9   302.6   357.0   390.4   417.5   451.2   493.2   550.3   827.5  3236.8  8367.5  52890.5    52873
read      464.6  1014.8   160.7   198.7   212.8   359.1   426.3   470.6   502.9   539.4   586.6   679.2  3533.6 12533.1 32392.5  13891.3    13911
read      375.8   527.3   160.7   201.4   212.2   304.8   362.2   399.5   430.4   468.7   521.3   638.1  1421.5  7371.5 28284.5  49978.9    49984
read      518.0  1392.3   160.7   205.8   222.3   358.4   419.6   457.1   483.7   513.2   552.4   645.7  4471.2 29337.0 33686.3   9285.1     9274
read      492.9  1000.6   160.7   199.3   211.2   355.5   459.9   526.8   591.0   668.0   763.4   907.1  2627.6 17103.0 32218.3  26953.8    27187
read      507.2  1109.6   160.7   197.8   211.0   370.5   461.6   524.2   566.1   610.3   667.0   780.2  4123.1 12313.1 32180.2  18694.5    18735
read      422.9   500.0   160.7   205.8   219.9   320.7   368.3   400.7   431.6   479.7   579.5  1264.8  1942.1  4603.7 17393.0  86134.2    86505
read      331.3   210.3   160.7   201.5   212.9   302.1   349.1   375.7   396.8   422.9   459.2   520.9   734.4  2719.7  7870.7  93012.0    93039
read      350.5   303.1   160.7   204.0   216.1   311.6   367.1   399.2   424.6   455.6   497.4   565.7   797.8  3628.7  9510.8  75701.8    75999
read      343.8   290.5   160.7   196.4   207.2   294.9   374.9   416.7   443.7   471.0   503.3   548.8   793.3  4086.7 11985.3  32228.7    32324
read      333.1   261.9   160.7   202.5   213.3   298.9   345.5   372.1   393.5   420.7   459.7   525.9   784.9  3532.1  8973.4  83975.3    84255
read      333.5   203.4   160.7   202.1   213.1   301.7   351.0   378.8   400.0   428.7   467.2   531.9   766.3  2771.4  6669.7  81402.5    81759
read      364.4   432.1   148.8   198.8   210.4   312.2   386.7   429.1   458.9   492.2   532.5   590.8   889.6  5813.4 14862.7  37301.8    37291
read      339.4   251.0   160.7   200.4   211.4   299.0   356.1   391.7   420.9   456.8   499.6   559.8   867.3  2547.6 11227.5  53912.4    53818
read      383.0   488.1   160.7   196.1   207.2   308.1   392.8   435.5   464.1   498.4   549.0   698.1  1354.2  5210.6 17449.7  30114.2    30297
read      387.2   639.3   160.7   197.0   208.3   312.1   396.9   441.3   471.7   506.4   557.8   699.2  1182.7  6844.5 17397.8  31521.8    31569
read      345.3   327.0   160.7   196.7   207.9   295.8   363.2   406.5   436.7   468.7   505.0   556.5   844.6  3857.9  8320.4  38987.6    38927
read      503.2  1240.2   160.7   202.2   216.5   360.5   424.6   466.7   496.4   528.6   569.9   662.0  4531.5 16234.5 36764.9  10610.2    10652
