Random waveform, supplied seed
Total number of intervals = 350 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227, 37496, 83925, 51037, 33690, 51474, 73708, 98618, 81977, 91567, 48236, 91726, 52458, 70467, 71151, 65016, 42057, 78821, 60720, 39911, 10628, 73736, 7334, 91868, 76670, 10405, 26019, 55530, 29615, 66057, 55281, 21177, 88239, 70227, 23421, 97104, 6235, 58045, 23729, 40897, 53312, 87262, 81836, 92274, 47252, 75747, 80994, 98224, 7737, 37514, 10640, 90490, 92514, 89245, 73823, 46565, 21419, 66915, 31667, 72255, 99535, 9226, 67844, 71413, 97328, 55113, 53743, 15253, 90605, 25767, 93458, 95080, 88399, 95681, 33003, 98809, 64610, 51183, 20194, 7602, 46677, 5577, 23035, 57516, 62851, 38431, 25729, 19443, 19461, 42341, 5691, 40223, 29941, 41162, 43863, 20318, 93421, 48578, 40595, 17677, 78948, 9703, 9686, 7968, 15830, 8192, 79410, 76582, 54634, 72177, 15101, 8167, 44130, 53047, 97171, 81360, 77277, 38294, 11165, 74155, 12255, 52404, 17057, 6005, 85707, 79742, 58322, 26212, 69487, 29507, 51412, 67374, 55125, 53048, 12192, 36138, 60799, 36368, 39729, 95693, 40999, 65037, 12633, 50117, 62765, 12379, 49369, 39111, 52692, 24539, 61591, 47864, 16479, 75268, 8714, 13002, 77147, 43518, 27206, 55859, 37448, 45026, 99974, 64632, 49061, 80418, 16471, 35694, 13935, 79838, 48842)
Average QPS expected = 50036
Timestamp start: 1684938832147
Timestamp end: 1684939792652

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      348.5   296.0   160.7   198.6   210.1   303.7   362.5   399.2   429.4   466.4   514.5   589.8   953.0  2865.3 11626.1  51373.1    51267
read      513.3  1269.6   160.7   200.9   213.9   355.4   422.7   468.6   501.1   540.5   596.6   870.5  4113.3 26618.7 39106.4  11741.5    11822
read      356.9   386.6   148.8   202.4   214.1   306.7   353.6   380.8   401.7   430.1   470.3   550.8  1593.1  4234.5 14541.1  97449.8    97494
read      329.9   271.5   160.7   200.8   212.4   298.8   342.9   368.4   388.1   412.3   447.2   507.7   714.8  3115.7 10096.8  97745.1    97350
read      338.9   251.8   160.7   198.4   209.7   294.4   347.2   383.7   414.2   453.6   500.5   565.4   905.0  2834.8  7200.7  55302.5    55460
read      337.1   247.2   160.7   203.7   215.4   303.1   351.7   380.7   402.9   432.2   472.9   541.5   760.9  3200.8  8076.5  85905.1    85984
read      345.7   387.6   160.7   201.6   213.1   304.3   354.0   383.6   405.8   435.7   477.3   545.6   789.4  5355.5 11025.2  81905.5    82043
read      361.0   409.1   160.7   203.3   214.7   311.3   370.1   406.2   434.8   471.4   518.7   593.6  1052.6  5191.8 15031.5  53095.6    52873
read      468.7   993.0   160.7   201.7   214.8   363.1   429.3   478.4   515.0   556.4   608.2   700.6  2608.3 11510.7 32127.3  13863.3    13911
read      400.3   730.3   160.7   199.9   211.7   310.4   374.5   419.2   454.7   499.2   567.4   809.3  1563.1  6511.8 31644.6  49640.0    49984
read      454.7   949.5   160.7   203.4   218.8   349.0   404.9   438.7   465.2   495.3   536.3   633.2  3210.6 10973.2 31639.5   9348.0     9274
read      470.0   887.1   160.7   196.8   209.0   346.7   441.9   501.7   559.2   643.7   741.9   896.8  2227.7 14632.7 32884.7  27076.0    27187
read      526.4  1289.6   160.7   197.9   211.0   374.4   469.4   540.5   589.4   637.8   695.5   807.9  4210.8 20449.7 42800.7  18942.2    18735
read      398.7   449.8   160.7   200.9   213.1   318.0   369.0   398.2   423.4   459.1   522.5   876.3  1788.9  4819.7  9444.6  86416.0    86505
read      335.5   236.3   148.8   200.5   212.3   302.7   350.1   377.1   398.1   425.3   463.4   531.8   785.7  2841.8  6939.3  92900.7    93039
read      341.9   410.7   160.7   200.2   211.6   299.6   348.8   378.3   401.0   431.6   474.1   546.4   937.4  3278.3 15324.6  76083.3    75999
read      341.2   229.5   148.8   199.5   210.6   296.2   374.4   414.9   440.2   468.0   500.1   545.1   758.2  3058.2 10438.2  32258.2    32324
read      338.8   344.2   160.7   201.1   212.7   300.0   349.2   378.5   400.8   430.1   470.5   539.8   782.8  3822.7 11775.7  84150.2    84255
read      330.9   223.1   148.8   200.3   211.5   296.1   342.5   369.8   392.0   420.5   461.2   528.4   769.9  3665.2  6748.5  81602.5    81759
read      354.9   319.3   160.7   197.8   209.2   304.9   376.4   421.1   452.1   486.5   526.5   587.0   869.4  4544.8 11055.4  37467.6    37291
read      346.0   305.6   160.7   196.7   208.1   303.0   358.7   393.1   421.3   456.7   502.0   574.2  1055.9  2989.3 11245.8  53930.9    53818
read      422.9   675.1   160.7   195.5   207.1   321.9   410.5   460.9   497.8   548.4   656.0   854.6  1964.1  7740.9 30980.1  30298.5    30297
read      388.3   587.5   160.7   195.4   206.5   304.2   386.9   430.2   460.2   495.9   548.6   731.1  1225.7  7557.8 30221.9  31597.8    31569
read      344.4   325.7   148.8   195.2   206.4   295.0   362.5   403.3   433.2   467.0   506.1   565.9   908.1  3413.3  9240.8  38976.7    38927
read      448.2   966.3   160.7   203.7   217.5   355.1   418.5   456.8   483.8   511.9   549.2   627.0  2304.8 11904.0 41046.4  10658.5    10652
read      363.4   386.6   160.7   199.8   212.1   308.3   354.3   380.2   400.7   429.1   471.6   577.5  1611.7  4220.7  7485.6  97826.5    98119
read      342.2   234.0   148.8   195.4   206.8   299.6   358.3   394.5   423.0   458.4   503.4   575.1   977.3  2773.5  5069.3  48214.5    48176
read      337.6   243.8   160.7   194.6   205.5   295.1   361.5   400.6   428.5   459.0   495.3   547.8   781.9  2854.7  9108.7  35129.5    34929
read      334.5   422.8   160.7   196.6   207.9   294.1   342.1   369.8   392.5   421.9   464.0   533.2   787.9  4364.9 13871.4  69555.6    69735
read      471.3   932.1   160.7   193.5   204.8   352.7   435.8   497.0   555.8   632.6   721.2   865.6  2574.2 11068.8 32352.6  20762.5    20753
read      400.9   449.4   148.8   204.1   217.6   316.3   369.1   402.5   432.4   471.8   542.0   868.7  1863.8  5433.2 14597.4  84570.9    84642
read      346.4   423.2   160.7   196.6   208.1   303.2   362.6   399.0   426.3   457.5   496.4   556.4   799.3  4919.7 23513.5  42419.6    42333
read      354.3   248.8   160.7   202.0   213.5   312.3   369.5   402.5   429.5   463.5   510.5   593.3  1047.1  3800.8  6444.4  61618.5    61587
read      333.6   260.6   160.7   199.7   211.2   299.6   348.9   377.4   400.5   430.4   471.5   540.2   773.9  2725.2  7298.1  77914.9    77998
read      349.4   400.0   160.7   202.9   215.1   307.4   355.5   383.8   404.6   433.3   471.2   539.9   814.4  5891.5 10828.2  97428.0    97625
read      448.7   717.1   160.7   195.4   207.4   352.0   438.1   492.0   540.6   609.6   695.1   830.8  2203.7  8522.1 31808.5  23873.1    23781
read      366.8   431.7   148.8   197.8   209.6   298.2   350.7   385.5   415.8   456.9   514.0   669.6  1544.5  4236.9 16732.4  66850.2    66723
